,zeilen,zeichen
391,"(4) Über die Frage der Verfassungswidrigkeit nach Absatz 2 sowie über den Ausschluss von staatlicher
",101
392,"Finanzierung nach Absatz 3 entscheidet das Bundesverfassungsgericht.
",69
393,"(5) Das Nähere regeln Bundesgesetze.
",37
394,"Art 22 
",8
395,"
",1
396," 
",2
397,"
",1
398,"(1) Die Hauptstadt der Bundesrepublik Deutschland ist Berlin. Die Repräsentation des Gesamtstaates in der
",106
399,"Hauptstadt ist Aufgabe des Bundes. Das Nähere wird durch Bundesgesetz geregelt.
",80
400,"(2) Die Bundesflagge ist schwarz-rot-gold.
",43
401,"Art 23 
",8
402,"
",1
403," 
",2
404,"
",1
405,"(1) Zur Verwirklichung eines vereinten Europas wirkt die Bundesrepublik Deutschland bei der Entwicklung der
",108
406,"Europäischen Union mit, die demokratischen, rechtsstaatlichen, sozialen und föderativen Grundsätzen und
",104
407,"dem Grundsatz der Subsidiarität verpflichtet ist und einen diesem Grundgesetz im wesentlichen vergleichbaren
",109
408,"Grundrechtsschutz gewährleistet. Der Bund kann hierzu durch Gesetz mit Zustimmung des Bundesrates
",98
409,"Hoheitsrechte übertragen. Für die Begründung der Europäischen Union sowie für Änderungen ihrer vertraglichen
",109
410,"Grundlagen und vergleichbare Regelungen, durch die dieses Grundgesetz seinem Inhalt nach geändert oder
",103
411,"ergänzt wird oder solche Änderungen oder Ergänzungen ermöglicht werden, gilt Artikel 79 Abs. 2 und 3.
",102
412,"
",1
413,"- Seite 7 von 50 -
",19
414,"
",1
415,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
416,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
417,"
",1
418,"(1a) Der Bundestag und der Bundesrat haben das Recht, wegen Verstoßes eines Gesetzgebungsakts der
",98
419,"Europäischen Union gegen das Subsidiaritätsprinzip vor dem Gerichtshof der Europäischen Union Klage zu
",103
420,"erheben. Der Bundestag ist hierzu auf Antrag eines Viertels seiner Mitglieder verpflichtet. Durch Gesetz, das der
",114
421,"Zustimmung des Bundesrates bedarf, können für die Wahrnehmung der Rechte, die dem Bundestag und dem
",100
422,"Bundesrat in den vertraglichen Grundlagen der Europäischen Union eingeräumt sind, Ausnahmen von Artikel 42
",107
423,"Abs. 2 Satz 1 und Artikel 52 Abs. 3 Satz 1 zugelassen werden.
",62
424,"(2) In Angelegenheiten der Europäischen Union wirken der Bundestag und durch den Bundesrat die Länder mit.
",107
425,"Die Bundesregierung hat den Bundestag und den Bundesrat umfassend und zum frühestmöglichen Zeitpunkt zu
",104
426,"unterrichten.
",14
427,"(3) Die Bundesregierung gibt dem Bundestag Gelegenheit zur Stellungnahme vor ihrer Mitwirkung an
",97
428,"Rechtsetzungsakten der Europäischen Union. Die Bundesregierung berücksichtigt die Stellungnahmen des
",101
429,"Bundestages bei den Verhandlungen. Das Nähere regelt ein Gesetz.
",65
430,"(4) Der Bundesrat ist an der Willensbildung des Bundes zu beteiligen, soweit er an einer entsprechenden
",104
431,"innerstaatlichen Maßnahme mitzuwirken hätte oder soweit die Länder innerstaatlich zuständig wären.
",99
432,"(5) Soweit in einem Bereich ausschließlicher Zuständigkeiten des Bundes Interessen der Länder berührt sind
",107
433,"oder soweit im übrigen der Bund das Recht zur Gesetzgebung hat, berücksichtigt die Bundesregierung die
",103
434,"Stellungnahme des Bundesrates. Wenn im Schwerpunkt Gesetzgebungsbefugnisse der Länder, die Einrichtung
",103
435,"ihrer Behörden oder ihre Verwaltungsverfahren betroffen sind, ist bei der Willensbildung des Bundes insoweit die
",113
436,"Auffassung des Bundesrates maßgeblich zu berücksichtigen; dabei ist die gesamtstaatliche Verantwortung des
",107
437,"Bundes zu wahren. In Angelegenheiten, die zu Ausgabenerhöhungen oder Einnahmeminderungen für den Bund
",102
438,"führen können, ist die Zustimmung der Bundesregierung erforderlich.
",68
439,"(6) Wenn im Schwerpunkt ausschließliche Gesetzgebungsbefugnisse der Länder auf den Gebieten der
",96
440,"schulischen Bildung, der Kultur oder des Rundfunks betroffen sind, wird die Wahrnehmung der Rechte, die
",104
441,"der Bundesrepublik Deutschland als Mitgliedstaat der Europäischen Union zustehen, vom Bund auf einen vom
",105
442,"Bundesrat benannten Vertreter der Länder übertragen. Die Wahrnehmung der Rechte erfolgt unter Beteiligung
",106
443,"und in Abstimmung mit der Bundesregierung; dabei ist die gesamtstaatliche Verantwortung des Bundes zu
",102
444,"wahren.
",8
445,"(7) Das Nähere zu den Absätzen 4 bis 6 regelt ein Gesetz, das der Zustimmung des Bundesrates bedarf.
",101
446,"Art 24 
",8
447,"
",1
448," 
",2
449,"
",1
450,"(1) Der Bund kann durch Gesetz Hoheitsrechte auf zwischenstaatliche Einrichtungen übertragen.
",94
451,"(1a) Soweit die Länder für die Ausübung der staatlichen Befugnisse und die Erfüllung der staatlichen Aufgaben
",110
452,"zuständig sind, können sie mit Zustimmung der Bundesregierung Hoheitsrechte auf grenznachbarschaftliche
",104
453,"Einrichtungen übertragen.
",26
454,"(2) Der Bund kann sich zur Wahrung des Friedens einem System gegenseitiger kollektiver Sicherheit einordnen;
",109
455,"er wird hierbei in die Beschränkungen seiner Hoheitsrechte einwilligen, die eine friedliche und dauerhafte
",107
456,"Ordnung in Europa und zwischen den Völkern der Welt herbeiführen und sichern.
",78
457,"(3) Zur Regelung zwischenstaatlicher Streitigkeiten wird der Bund Vereinbarungen über eine allgemeine,
",103
458,"umfassende, obligatorische, internationale Schiedsgerichtsbarkeit beitreten.
",77
459,"Art 25 
",8
460,"
",1
461," 
",2
462,"
",1
463,"Die allgemeinen Regeln des Völkerrechtes sind Bestandteil des Bundesrechtes. Sie gehen den Gesetzen vor und
",108
464,"erzeugen Rechte und Pflichten unmittelbar für die Bewohner des Bundesgebietes.
",79
465,"Art 26 
",8
466,"
",1
467," 
",2
468,"
",1
469,"(1) Handlungen, die geeignet sind und in der Absicht vorgenommen werden, das friedliche Zusammenleben der
",106
470,"Völker zu stören, insbesondere die Führung eines Angriffskrieges vorzubereiten, sind verfassungswidrig. Sie sind
",113
471,"unter Strafe zu stellen.
",25
472,"
",1
473,"- Seite 8 von 50 -
",19
474,"
",1
475,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
476,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
477,"
",1
478,"(2) Zur Kriegführung bestimmte Waffen dürfen nur mit Genehmigung der Bundesregierung hergestellt, befördert
",108
479,"und in Verkehr gebracht werden. Das Nähere regelt ein Bundesgesetz.
",68
480,"Art 27 
",8
481,"
",1
482," 
",2
483,"
",1
484,"Alle deutschen Kauffahrteischiffe bilden eine einheitliche Handelsflotte.
",74
485,"Art 28 
",8
486,"
",1
487," 
",2
488,"
",1
489,"(1) Die verfassungsmäßige Ordnung in den Ländern muß den Grundsätzen des republikanischen, demokratischen
",106
490,"und sozialen Rechtsstaates im Sinne dieses Grundgesetzes entsprechen. In den Ländern, Kreisen und Gemeinden
",108
491,"muß das Volk eine Vertretung haben, die aus allgemeinen, unmittelbaren, freien, gleichen und geheimen Wahlen
",109
492,"hervorgegangen ist. Bei Wahlen in Kreisen und Gemeinden sind auch Personen, die die Staatsangehörigkeit
",104
493,"eines Mitgliedstaates der Europäischen Gemeinschaft besitzen, nach Maßgabe von Recht der Europäischen
",102
494,"Gemeinschaft wahlberechtigt und wählbar. In Gemeinden kann an die Stelle einer gewählten Körperschaft die
",106
495,"Gemeindeversammlung treten.
",28
496,"(2) Den Gemeinden muß das Recht gewährleistet sein, alle Angelegenheiten der örtlichen Gemeinschaft im
",103
497,"Rahmen der Gesetze in eigener Verantwortung zu regeln. Auch die Gemeindeverbände haben im Rahmen ihres
",103
498,"gesetzlichen Aufgabenbereiches nach Maßgabe der Gesetze das Recht der Selbstverwaltung. Die Gewährleistung
",107
499,"der Selbstverwaltung umfaßt auch die Grundlagen der finanziellen Eigenverantwortung; zu diesen Grundlagen
",106
500,"gehört eine den Gemeinden mit Hebesatzrecht zustehende wirtschaftskraftbezogene Steuerquelle.
",94
501,"(3) Der Bund gewährleistet, daß die verfassungsmäßige Ordnung der Länder den Grundrechten und den
",98
502,"Bestimmungen der Absätze 1 und 2 entspricht.
",45
503,"Art 29 
",8
504,"
",1
505," 
",2
506,"
",1
507,"(1) Das Bundesgebiet kann neu gegliedert werden, um zu gewährleisten, daß die Länder nach Größe
",96
508,"und Leistungsfähigkeit die ihnen obliegenden Aufgaben wirksam erfüllen können. Dabei sind die
",94
509,"landsmannschaftliche Verbundenheit, die geschichtlichen und kulturellen Zusammenhänge, die wirtschaftliche
",107
510,"Zweckmäßigkeit sowie die Erfordernisse der Raumordnung und der Landesplanung zu berücksichtigen.
",97
511,"(2) Maßnahmen zur Neugliederung des Bundesgebietes ergehen durch Bundesgesetz, das der Bestätigung durch
",105
512,"Volksentscheid bedarf. Die betroffenen Länder sind zu hören.
",61
513,"(3) Der Volksentscheid findet in den Ländern statt, aus deren Gebieten oder Gebietsteilen ein neues oder neu
",109
514,"umgrenztes Land gebildet werden soll (betroffene Länder). Abzustimmen ist über die Frage, ob die betroffenen
",109
515,"Länder wie bisher bestehenbleiben sollen oder ob das neue oder neu umgrenzte Land gebildet werden soll.
",104
516,"Der Volksentscheid für die Bildung eines neuen oder neu umgrenzten Landes kommt zustande, wenn in
",98
517,"dessen künftigem Gebiet und insgesamt in den Gebieten oder Gebietsteilen eines betroffenen Landes, deren
",105
518,"Landeszugehörigkeit im gleichen Sinne geändert werden soll, jeweils eine Mehrheit der Änderung zustimmt. Er
",108
519,"kommt nicht zustande, wenn im Gebiet eines der betroffenen Länder eine Mehrheit die Änderung ablehnt; die
",106
520,"Ablehnung ist jedoch unbeachtlich, wenn in einem Gebietsteil, dessen Zugehörigkeit zu dem betroffenen Land
",107
521,"geändert werden soll, eine Mehrheit von zwei Dritteln der Änderung zustimmt, es sei denn, daß im Gesamtgebiet
",110
522,"des betroffenen Landes eine Mehrheit von zwei Dritteln die Änderung ablehnt.
",77
523,"(4) Wird in einem zusammenhängenden, abgegrenzten Siedlungs- und Wirtschaftsraum, dessen Teile in
",98
524,"mehreren Ländern liegen und der mindestens eine Million Einwohner hat, von einem Zehntel der in ihm
",100
525,"zum Bundestag Wahlberechtigten durch Volksbegehren gefordert, daß für diesen Raum eine einheitliche
",100
526,"Landeszugehörigkeit herbeigeführt werde, so ist durch Bundesgesetz innerhalb von zwei Jahren entweder zu
",105
527,"bestimmen, ob die Landeszugehörigkeit gemäß Absatz 2 geändert wird, oder daß in den betroffenen Ländern
",104
528,"eine Volksbefragung stattfindet.
",33
529,"(5) Die Volksbefragung ist darauf gerichtet festzustellen, ob eine in dem Gesetz vorzuschlagende Änderung der
",110
530,"Landeszugehörigkeit Zustimmung findet. Das Gesetz kann verschiedene, jedoch nicht mehr als zwei Vorschläge
",107
531,"der Volksbefragung vorlegen. Stimmt eine Mehrheit einer vorgeschlagenen Änderung der Landeszugehörigkeit
",105
532,"zu, so ist durch Bundesgesetz innerhalb von zwei Jahren zu bestimmen, ob die Landeszugehörigkeit gemäß
",103
533,"Absatz 2 geändert wird. Findet ein der Volksbefragung vorgelegter Vorschlag eine den Maßgaben des Absatzes
",107
534,"3 Satz 3 und 4 entsprechende Zustimmung, so ist innerhalb von zwei Jahren nach der Durchführung der
",100
535,"Volksbefragung ein Bundesgesetz zur Bildung des vorgeschlagenen Landes zu erlassen, das der Bestätigung
",104
536,"durch Volksentscheid nicht mehr bedarf.
",40
537,"- Seite 9 von 50 -
",19
538,"
",1
539,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
540,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
541,"
",1
542,"(6) Mehrheit im Volksentscheid und in der Volksbefragung ist die Mehrheit der abgegebenen Stimmen, wenn
",104
543,"sie mindestens ein Viertel der zum Bundestag Wahlberechtigten umfaßt. Im übrigen wird das Nähere über
",102
544,"Volksentscheid, Volksbegehren und Volksbefragung durch ein Bundesgesetz geregelt; dieses kann auch
",99
545,"vorsehen, daß Volksbegehren innerhalb eines Zeitraumes von fünf Jahren nicht wiederholt werden können.
",103
546,"(7) Sonstige Änderungen des Gebietsbestandes der Länder können durch Staatsverträge der beteiligten
",100
547,"Länder oder durch Bundesgesetz mit Zustimmung des Bundesrates erfolgen, wenn das Gebiet, dessen
",96
548,"Landeszugehörigkeit geändert werden soll, nicht mehr als 50.000 Einwohner hat. Das Nähere regelt ein
",101
549,"Bundesgesetz, das der Zustimmung des Bundesrates und der Mehrheit der Mitglieder des Bundestages bedarf.
",105
550,"Es muß die Anhörung der betroffenen Gemeinden und Kreise vorsehen.
",67
551,"(8) Die Länder können eine Neugliederung für das jeweils von ihnen umfaßte Gebiet oder für Teilgebiete
",103
552,"abweichend von den Vorschriften der Absätze 2 bis 7 durch Staatsvertrag regeln. Die betroffenen Gemeinden
",106
553,"und Kreise sind zu hören. Der Staatsvertrag bedarf der Bestätigung durch Volksentscheid in jedem beteiligten
",109
554,"Land. Betrifft der Staatsvertrag Teilgebiete der Länder, kann die Bestätigung auf Volksentscheide in diesen
",108
555,"Teilgebieten beschränkt werden; Satz 5 zweiter Halbsatz findet keine Anwendung. Bei einem Volksentscheid
",105
556,"entscheidet die Mehrheit der abgegebenen Stimmen, wenn sie mindestens ein Viertel der zum Bundestag
",100
557,"Wahlberechtigten umfaßt; das Nähere regelt ein Bundesgesetz. Der Staatsvertrag bedarf der Zustimmung des
",105
558,"Bundestages.
",13
559,"Art 30 
",8
560,"
",1
561," 
",2
562,"
",1
563,"Die Ausübung der staatlichen Befugnisse und die Erfüllung der staatlichen Aufgaben ist Sache der Länder, soweit
",112
564,"dieses Grundgesetz keine andere Regelung trifft oder zuläßt.
",61
565,"Art 31 
",8
566,"
",1
567," 
",2
568,"
",1
569,"Bundesrecht bricht Landesrecht.
",32
570,"Art 32 
",8
571,"
",1
572," 
",2
573,"
",1
574,"(1) Die Pflege der Beziehungen zu auswärtigen Staaten ist Sache des Bundes.
",76
575,"(2) Vor dem Abschlusse eines Vertrages, der die besonderen Verhältnisse eines Landes berührt, ist das Land
",107
576,"rechtzeitig zu hören.
",22
577,"(3) Soweit die Länder für die Gesetzgebung zuständig sind, können sie mit Zustimmung der Bundesregierung mit
",109
578,"auswärtigen Staaten Verträge abschließen.
",42
579,"Art 33 
",8
580,"
",1
581," 
",2
582,"
",1
583,"(1) Jeder Deutsche hat in jedem Lande die gleichen staatsbürgerlichen Rechte und Pflichten.
",92
584,"(2) Jeder Deutsche hat nach seiner Eignung, Befähigung und fachlichen Leistung gleichen Zugang zu jedem
",104
585,"öffentlichen Amte.
",19
586,"(3) Der Genuß bürgerlicher und staatsbürgerlicher Rechte, die Zulassung zu öffentlichen Ämtern sowie die im
",108
587,"öffentlichen Dienste erworbenen Rechte sind unabhängig von dem religiösen Bekenntnis. Niemandem darf aus
",105
588,"seiner Zugehörigkeit oder Nichtzugehörigkeit zu einem Bekenntnisse oder einer Weltanschauung ein Nachteil
",106
589,"erwachsen.
",11
590,"(4) Die Ausübung hoheitsrechtlicher Befugnisse ist als ständige Aufgabe in der Regel Angehörigen des
",101
591,"öffentlichen Dienstes zu übertragen, die in einem öffentlich-rechtlichen Dienst- und Treueverhältnis stehen.
",109
592,"(5) Das Recht des öffentlichen Dienstes ist unter Berücksichtigung der hergebrachten Grundsätze des
",100
593,"Berufsbeamtentums zu regeln und fortzuentwickeln.
",50
594,"Art 34 
",8
595,"
",1
596," 
",2
597,"
",1
598,"Verletzt jemand in Ausübung eines ihm anvertrauten öffentlichen Amtes die ihm einem Dritten gegenüber
",102
599,"obliegende Amtspflicht, so trifft die Verantwortlichkeit grundsätzlich den Staat oder die Körperschaft, in deren
",113
600,"Dienst er steht. Bei Vorsatz oder grober Fahrlässigkeit bleibt der Rückgriff vorbehalten. Für den Anspruch auf
",111
601,"Schadensersatz und für den Rückgriff darf der ordentliche Rechtsweg nicht ausgeschlossen werden.
",97
602,"- Seite 10 von 50 -
",20
603,"
",1
604,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
605,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
606,"
",1
607,"Art 35 
",8
608,"
",1
609," 
",2
610,"
",1
611,"(1) Alle Behörden des Bundes und der Länder leisten sich gegenseitig Rechts- und Amtshilfe.
",92
612,"(2) Zur Aufrechterhaltung oder Wiederherstellung der öffentlichen Sicherheit oder Ordnung kann ein Land in
",107
613,"Fällen von besonderer Bedeutung Kräfte und Einrichtungen des Bundesgrenzschutzes zur Unterstützung seiner
",106
614,"Polizei anfordern, wenn die Polizei ohne diese Unterstützung eine Aufgabe nicht oder nur unter erheblichen
",107
615,"Schwierigkeiten erfüllen könnte. Zur Hilfe bei einer Naturkatastrophe oder bei einem besonders schweren
",104
616,"Unglücksfall kann ein Land Polizeikräfte anderer Länder, Kräfte und Einrichtungen anderer Verwaltungen sowie
",109
617,"des Bundesgrenzschutzes und der Streitkräfte anfordern.
",56
618,"(3) Gefährdet die Naturkatastrophe oder der Unglücksfall das Gebiet mehr als eines Landes, so kann die
",103
619,"Bundesregierung, soweit es zur wirksamen Bekämpfung erforderlich ist, den Landesregierungen die Weisung
",104
620,"erteilen, Polizeikräfte anderen Ländern zur Verfügung zu stellen, sowie Einheiten des Bundesgrenzschutzes und
",110
621,"der Streitkräfte zur Unterstützung der Polizeikräfte einsetzen. Maßnahmen der Bundesregierung nach Satz 1 sind
",111
622,"jederzeit auf Verlangen des Bundesrates, im übrigen unverzüglich nach Beseitigung der Gefahr aufzuheben.
",105
